none,Teacher,Class,Reviewer,Date,Difficulty,Test,Report,Attendance,Comments
,田嶋玄一,生命科学A,,2019年02月14日,仏,,時々あり,なし,ミニットペーパーで出席は取りますが出席点はないため、おそらく質問用です。テストは配布される資料（ISTUからのコピーも可）およびノート持ち込み可で、記述式です。それとともに中間にレポートが課されます。授業内容は高校生物からさらに発展させた内容が主でとても面白いです（ただ、物理選択の人は大変そうでした）。
,林慎一,生命科学B,,2019年02月14日,仏,,なし,あり,医学部保健学科検査技術科学専攻の3～4名の先生による授業です。がんやゲノム遺伝子などについての講義です。ほとんどの先生は、事前にテストに出す問題を教えてくださいます。出席10点テスト90点という配分です。ほとんどの人は落とさないと言ってましたし、講義の内容も発展的で興味深いと思います。
,寺嶋　郁二,解析学B,,2019年02月14日,並,,なし,なし,出席レポート無しで、中間10％期末90％内容は分かりやすいわけではないし、教科書の内容を音読するだけ。試験は計算問題ができれば8割取れる。
,林雄二郎,化学C,,2019年02月14日,仏,,なし,あり,有機化学についてです。テストは教科書の章末問題からそのまま出ます。章末問題は数もそこまで多くはなく、授業に比べたらそこまで難しくないと思うので、その解答を覚えれば大丈夫です。先生は後ろに座っている生徒から当てる方法を取るので最初はやっかいに思いましたが、難しくてつまづいたところは根気強く教えてくださるので何だかんだ良い先生だと思います。先生が出張の際は別の先生がいらっしゃいます。
,坂場裕之,化学A,,2019年02月14日,仏,,時々あり,あり,化学結合論についてで、教科書とレジュメを使います。そのレジュメに載ってある問題を解いて提出する宿題が数回出ます。練習問題のプリントが出され、テストはその問題からほぼそのまま出ます。練習問題の答えは渡されませんが、配布されたレジュメや教科書を見れば載っています。計算はほとんどなく記述が主です。自分で作成した答えを覚えてテストを受ければ高い評価をもらえます。AAも難しくないと思います。授業内容は、これから大学で学ぶ化学の基礎といえる内容も扱うため、取っておいて損はないです。
,宮田英威,物理学B,,2019年02月14日,仏,,なし,あり,テストの問題について詳しい説明が授業中になされます。自分は物理が極端に苦手なためテストは30点とかでしたが、全て出席していたためか何故か浮きました。テストは普通の人なら解けると思いますし出席していれば単位は取得できると思いますが、詳しい基準についてはあまりわかりません。再試はないと思います。
,伊藤正俊,物理学A,,2019年02月14日,やや仏,,なし,あり,教科書とスライドを用いて授業が勧められます。テストは毎回の確認問題と教科書の問題をもとに出されます。高校で物理未履修の人用のクラスでしたが自分にとってはなかなか難しくテストは落ちましたが、その場合には救済のレポートが出ます。A4一枚にまとめる形式で、力学が医療に関係するところについて調べて書きます。それを出せば浮きます。ただし、テストが10点以上かつ出席7割くらい以上という条件があったため注意してください。
,田谷久雄,線形代数学概要,,2019年02月14日,仏,,なし,あり,ベクトルや行列についての講義です。教科書をもとに授業を行います。テストは中間、期末の二回あり、教科書の例題と問題をやっておけばまあまあ解ける内容にはなっていると思います。
,行場次朗,心理学,,2019年02月14日,仏,,なし,あり,出席はミニットペーパーで取ります。テストは教科書、ノート持ち込み可で、9問くらいの中から3問選び記述するというものです。先生の板書を写して教科書ももとに書ければ大丈夫です。授業内容も個人的にはかなり面白いうえに単位も取りやすいのでお勧めです。
,池尾恭一,哲学・倫理学,,2019年02月14日,仏,,なし,なし,西洋倫理についての講義です。出席は取らずテストのみです。テストは、授業中に取り上げたカントなどの哲学者が書いた著書を読み、それを手がかりに論じるというものです。書き方については授業中に話されます。テスト当日は自筆のノート類のみ持ち込み可で、参考文献は持ち込めません。
,大向一行,自然界の構造,,2019年02月14日,仏,,時々あり,あり,オムニバス形式の授業です。自然界に関係する物理や数学、天文学などの話を聞けます。出席（ミニットペーパー）によって評価されます。１，２回レポートの提出が課されます（任意の場合もあり）。A4一枚程度なのでそこまで大変ではないです。普通に出席してレポートも出せば確実に単位は取れますし内容も興味深いのでお勧めです。
,佐藤正弘,経済と社会,,2019年02月14日,仏,,時々あり,なし,環境経済学についての授業です。出席は一切取りません。毎回レジュメが配られ、３～４回宿題が出ます。それをもとにした問題がテストに出ます。宿題は授業を理解していれば普通に解ける問題が出されています。テストは全て選択問題でマークシート方式です。微分積分については説明してくれますが、基本的なことは知っておくとより楽になります。（自分は宿題の出来もテストの手ごたえもあまりなかったのですがAAをもらえたので、宿題をちゃんと出してレジュメをしっかり復習すれば大丈夫だと思われます。）
,野家啓一,思想と倫理の世界,,2019年02月14日,仏,,なし,あり,毎回出席を確認するために名簿に名前を書きます。ミニットペーパーは質問用に渡されるので提出は任意です。何枚か資料が渡され、板書で授業が行われます。テストは事前に出される問題（3問から1問選び論述）を指示されるので安心です。自筆のノートのみ持ち込み可です。私は論述もあまりできなかったし3回欠席しましたがBでした。
,一ノ瀬 正和,体と健康,,2019年02月14日,仏,,なし,あり,オムニバス形式の講義。授業開始後20分以内に行けばミニぺが貰え、それに講義の最後に出される課題の答えを書いて提出する。内容は正直くそつまらん。義務教育の保健の授業？という感じ。本当にたまーに面白い時もある。ミニぺ課題が毎回楽勝なので、そのうち真面目に聞くことを放棄したくなるだろう。ミニぺ真面目に書いて2回休むとAです。参考までに。
,田谷 久雄,線形代数学B,,2019年02月14日,仏,,あり,時々あり,マジで落ちると思ったらAAだった。先生は優しそうな人だが、説明がおそらく上手くないので、かなり真剣に聞いていても全くわからなかった。自分が数学苦手なせいだと思っていたが、周りも分かっていなかった。勇気が出た。授業中自分で参考書用意して勉強してる人も居たが、それが一番良かったのかもしれない。テストは中間期末。ちゃんと範囲理解していれば解けるはず。期末で救済？レポートがあるので、レポートの例題解きながらテスト勉強した。
,江藤 裕之,英語A,,2019年02月14日,仏,,あり,なし,先生が兎に角優しい。授業時間とか出席に関しては本当に生徒思いで、少し早く終わるし出席無し。授業はTEDとか動画でスピーチ見ながら、原稿を丁寧に読んでいく形式。結構細かい所を教えてくれたりもするが、基本的に既に知ってるような内容なのであまり面白くはない。席の場所によっては内職科目。ただ授業中触れたところからテストに出るので、過去問もしくは書き込んだプリントが手に入る見込みがなければある程度聞いておいた方が良い。テストに出す箇所は強調して言ってくれるので内職しながら聞くのも余裕。テストは中間期末で1スピーチずつ。記述問題。しっかり書かないとドカドカ減点される。レポートも中間期末だがA41枚なので余裕。普通に書ける。テストとレポートちゃんとやれば浮く。
,徳川ちょくと,社会の構造,,2019年02月13日,ど鬼,,あり,時々あり,ちょくとバンバン落としてきます。注意。
,徳川,社会の構造,,2019年02月13日,ど鬼,,あり,時々あり,本人ブログに書いてあるレポートの評価が厳しく、レポートを出した後不安に駆られます。案の定厳しい評価をいただきました。素晴らしいレポートをかける人なら良いのではないでしょうか。
,川名洋,経済史入門,,2019年02月13日,仏,,,,色々言われてるけど仏でしょう。成績は最後の論述テストで100%なので普段からの板書は必須でした。(持ち込みは無しです。)これを聞くと、板書を毎時間取らないといけないのかとうんざりするかもしれませんが、出席しなくても講義内容のノートを友人から入手すれば大丈夫です。自分もそうでした。一部で鬼と呼ばれるのは、出席確認のタイミングが不定期かつそれが人のいない時期であることと、授業に出るだけ出てノートを取らずにスマホをいじっている人より、全く授業に出ずに3日間だけしっかりノートを見て内容を確認して過去問対策をした人の方が点を取る可能性もあるテスト形式だからではないかと思います。自分は後者でした。Aありがとうございます。板書さえ抑えられれば楽。
,竹林 修一,英語B,,2019年02月13日,ど仏,,なし,あり,毎回の授業でリンクイングリッシュのログインで出席を取っているらしいが定かではない。テストは中間と期末の二回。授業内容はやや面倒くさい。私は途中から出席しなくなり、期末テストも受けず、リンクイングリッシュもやっておらず、完全に諦めていたが、まさかのC浮きした。性格にやや難があるが、そこさえ目を瞑ればど仏。TOEFL を受験すれば浮くという噂は本当だったのか。
,藤田 緑,英語A,,2019年02月13日,ど鬼,,なし,あり,精読の授業。興味もないアフリカ文学を読まされ訳すように言われる。授業は何人かの生徒が訳していくというスタイルなのだが、基本的に藤田氏のお目に叶う役をしていないと永遠に突っ込まれ嫌な対応をされる。どうでもいい突っ込みもよくあり、臨機応変さが藤田氏には足りないと感じる。基本的にこのクラスにあたってしまったらハズレだ。昔の投稿者も書いていたが再履用のクラスで履修するほうが810倍楽なのでそうしたほうがよい
,稲葉　謙次他,生命科学Ｂ,,2019年02月13日,やや鬼,,なし,あり,ノーベル賞受賞者に沿って生命科学を学ぶという講義内容は非常に面白いものである。しかしながら、記述式穴埋めをノート持ち込みで行わせる（しかもその問題はとても難易度が高く記述してきていないと死亡）という滅茶苦茶設定。安心して単位が欲しいなら日々の講義でスライドで渡された資料をノートにすべて書き写し、分からないところは家で調べる必要がある。ちなみにテストで5割空欄でもAがもらえたからやや鬼としている。（これでC、Dだったらど鬼にしていた位つらかった。）
,岩本　武明,化学Ｃ,,2019年02月13日,やや仏,,時々あり,なし,有機化学の基本的な内容（ほぼ高校内容）を行う。教科書（クライン）が非常にわかりやすいため、講義を聞かず教科書のスキルビルダーだけを行っていればよい。テストも非常に簡単であり、スキルビルダーだけで満点は堅い。演習の答がないため、教科書を読み解く力がないと死亡フラグ。
,山内　保典,人間と文化 ,,2019年02月13日,仏,,あり,あり,毎回の講義に関する感想を講義後にISTUに書かなくてはならないが、思考に関わる内容をゲーム等で考えていくというものであるから、非常に面白く、また実生活に即した思考方法を知ることができると思う。最後の方には大学をどう変えればよりよくなるかということを自分たちで考え、可能であれば実行するという大学を変えるチャンスもある。毎回出席が可能であり、感想（学び）を毎週書くことを忘れなければ、A浮きは確定事項であるといえるだろう。
,田林,スペイン語,,2019年02月13日,並,,なし,あり,期末と出席で評価する。スペイン語の文法を勉強する。単語は自分で勉強しないといけないため大変。たまにDVDとか映画とか見る。映画の内容がちょっとアレ。
,オムニバス,自然と環境,,2019年02月13日,仏,,なし,あり,講義の最後に出席を兼ねた小テストを行い評価する。話の内容は高校化学でやったものが多く、理系にとってはつまらないが楽。出席すればよい。
,オムニバス,体と健康,,2019年02月13日,ど仏,,なし,あり,話の半分が健康に関する話でもう半分が先生の人生についての講義。面白い。出席すればいいだけ。
,オムニバス,流れの科学,,2019年02月13日,仏,,あり,あり,講義に出てレポート出せばAAは堅い。金曜５限なのが辛いが、話は面白い。
,村山 卓,情報理学入門,,2019年02月13日,並,,あり,あり,C++のプログラミング。レポートが6～7回あるがそこまで難しいことは求められない。
,岡部 真也,解析B,,2019年02月13日,やや仏,,あり,なし,講義はそこそこ分かりやすい。中間と期末で評価する。中間にレポートがあり、教科書の内容理解ができていれば浮く。
,清水 菜穂,英語,,2019年02月13日,やや仏,,なし,あり,英語のプレゼンの授業。出席してプレゼンやれば浮く。
,山内,英語,,2019年02月13日,鬼,,なし,あり,講義で扱う内容についての小テストと講義終了後のテスト(要約)を平常点とし、中間、期末と合わせて成績評価の対象とする。話す内容もわかりづらく的はずれなことが多い。英語が苦手なら履修放棄も一つの手である。
,篠原歩,実践機械学習,,2019年02月13日,仏,,,,Pythonに関する授業。よく分かんないとこもあって課題も適当にやることが多かったけどAAとれた。テストはない。出席は紙を回して記名するタイプなので代返も可能。毎回の授業で課題があった。課題は初心者向け、中級者向け、上級者向けとかいろいろあったけど、初心者向けだけやるだけで大丈夫だと思う。
,村山　卓,情報理学入門,,2019年02月12日,やや仏,,時々あり,あり,C++の講義である。レポートは毎週のようにC++で作っていくものとオセロゲームを作ることがあるが、標準的な仕様を実現しようとするならば講義時間内にも終了する程度であり、負担は少ないものと考えられる。
,金澤　素 ,体と健康,,2019年02月12日,ど仏,,なし,あり,これほど質もよく、単位も取りやすい講義は今まであっただろうかと言いたくなるほど非常に有意義かつ優しい教授であったと言えるだろう。今まで学んできたことがつながるとはこのことであり、高校の保健体育のようなつまらなさは全くない。自科総のある時に取ると、レポートを書く予定だったのについ聞き入ってしまったなどといったことがおきることが玉に瑕。
,門間　陽樹,スポーツＡ（テニス）,,2019年02月12日,やや仏,,あり,あり,テニスをやると言っておきながら、試合がないという非常にやる気のそがれる内容であった。単位のみであるなら非常に取りやすいといえるが、私自身はおススメしない。
,竹森　その子,英語Ｂ２,,2019年02月12日,並,,時々あり,あり,リスニングの講義だが、隔週で英語を聞いた時間を記入した紙を提出した。しかしながら、この紙は提出さえすれば何時間聞いていても点数は同じである。また、毎週英単語のテストがあるが、授業前でどうにかなる程度である。テストもほとんど記憶ゲーでTOEFLで勝負がつくといっても過言ではないだろう。努力の割には差がつかないため、A以上は困難を極める。その分浮きは余裕である。
,スプリングライアン（ＳＰＲＩＮＧ　ＲＹＡＮ　ＥＤＷＡＲＤ ）,英語Ａ２,,2019年02月12日,並,,あり,あり,多読とともに精読すら要求してくる教授。と言っても、小学校国語ランクではある。難易度が高いのはむしろ読んだ本に関するレポートを500wordや600wordで書かなくてはならない点である。ライティングのスキルが高い人でないと上を目指すのは難しい。自分で英文が正しいかどうかチェックでき、かつ中学校ランクの英文ならスラスラ書ける程度は必要であろう。
,富田　真紀 ,グローバル人材基礎演習,,2019年02月12日,並,,時々あり,あり,自然科学総合実験と合わせて取るようなものではありません。毎週のように発展途上国に関わるトピックの下調べと20分の長さのプレゼンテーションの準備を行っていました。書くだけでは伝わらないと思いますが、ほとんど日本語では有用な資料が見つからない場合も多く、英語の文献をあさりながらあれでもないこれでもないと進めていくと、20分の長さのプレゼンテーションが途方もないことが分かります。忙しさには悩殺されましたが、非常に有益な内容ばかりであったため並みとします。まあ、来セメのひとはこれを調べることはないんでしょうけどね。
,宮岡　礼子,曲がった空間の幾何学,,2019年02月12日,やや仏,,なし,時々あり,教授の著書である「曲がった空間の幾何学」を基にゼミ形式即ち、それぞれが授業をするという形で講義を行った。内容は理系であれば常識的な内容のみとなっており、少々物足りなさを感じるだろう。しかしながら、プラス内容を各々が調べたければ調べてきて発表してもよいとなっているため、退屈はしない。教授も数学的な正しさには厳しめであるが、評価には関係なく調べてきたことに対してプラスの評価を付けているようだ。
,鈴木　岩弓,現代日本における「死」の変化,,2019年02月12日,仏,,あり,なし,講義は最初のうちだけで、後は自分の調べたい「死」に関わる情報を調べレポートを提出するだけの講義です。単位稼ぎにはもってこいだと思われます。無論、本当に興味がある人ならためになる内容も詰まっています！！
,森田　明弘,化学Ｂ,,2019年02月12日,鬼,,時々あり,なし,優しそうに思えることを言っているにもかかわらず、実際並みであるから鬼とする。テストに出すといったところは出されない。授業で時間をかけたところは出されない。救済レポートも2日中に出せという始末。過去問勝負で行った方がテストでよい点が取れる。テスト内容に関しては絶対に教授の言うことを信用してはならない。ただ非常に講義プリントは分かりやすい。
,落合　明,物理学Ｂ,,2019年02月12日,やや仏,,時々あり,あり,剛体や波を行った。行っている内容は非常に高度であり、理解することは難しいが、いかんせんテストが簡単である。時々出されるレポートを提出し、テスト前に一度見直しておくだけで浮きは確定だろう。
,高瀬　幸一 ,線形代数学Ｂ ,,2019年02月12日,並,,なし,なし,出席はないが、ある程度進むと演習があり、一枚10点が三枚で30点となる。教授のサイトにある演習をミスがない程度にできるようにすればAAであろう。救済は望めないが、普通に受ければ落としはしないため並みとした。
,まねきケチャ,招福学,,2019年02月12日,,,,,2/24に仙台darwinでライブ、そのあとイービーンズでリリイベがあります
,ナナランド,魔法,,2019年02月12日,,,,,2/24に仙台darwinでライブがあります
,阿部,心理学,,2019年02月12日,仏,,なし,あり,授業冒頭に配布されるアンケートに答えて出席を取っていた。中にはアンケートを記入して即帰宅してる輩もいた。出席40テスト60だった気がする テスト難しいけど教科書持ち込みオッケーだった
,篠澤,論理学,,2019年02月12日,やや仏,,なし,あり,出席20期末80 授業ほとんど寝てましたテスト前に勉強して浮きましたテストはそこまで難しくないのでやれば浮きます
,秘密,,後泣きついてくる奴,,2019年02月11日,,,,コメントテスト後に泣きついて根回しメールで懇願してくる奴らへ追試→問題作成時間かかる→面倒レポート→どうせ本人考えない→意味ない先生方にメリットゼロです。よって、よっぽど物好きでない限り先生方は対応しません。高校までと違って先生方は面倒を手取り足取り見てくれません。
,西澤松彦,熱力学Ⅱ,,2019年02月10日,仏,,なし,あり,レポートというか出席代わりの演習を毎回出す。ただし答えまで授業中にやるしたぶん評価に響かない。ときどき学籍番号で指名して問題とか聞かれる。しかしほとんどの生徒が真面目に聞いてないことに気づいたのか後半はなくなった。テストがクソ簡単かつ7割にB出す。最後の授業でまとめやるので、レジュメゲットして代返しとけば単位は来る。自分は全出席でテストもミスなかったはずがAでした。
,須田,基礎スペイン語,,2019年02月09日,仏,,時々あり,あり,この先生は神でした。ほぼほぼ浮きます。
,ゾンダーマン,展開ドイツ語,,2019年02月09日,,,なし,あり,魔王みたいな名前だが非常に物腰柔らかい先生「それでは授業はじまりましょう」など独特な言い回しに癒されること間違いなし今でもトンペにいるのかな
,吉田,財政学,,2019年02月09日,ど仏,,なし,なし,テストは教科書持ち込みありで全問選択式(今年は20/25が◯×)無勉で臨んでも落としようがないと思う
,桑原清幸,会計原理,,2019年02月08日,やや鬼,,あり,時々あり,レポート3割にテスト7割(＋ごく稀に取られる出席で救済？)。レポートは割と簡単。テストは35問中30問が4択の記号問題という仏仕様、かと思いきや実際は(恐らく？)簿記1級ほどのレベルの仕訳5問が1問8点の40点分だったようで、50点前後で落単してる人をたくさん見た。無慈悲ィ！
,フリーザ花村昌樹様,,,2019年02月08日,ど鬼,,,,ありえないど鬼。死にそうなフリーザに似ている
,日置,経済発展,,2019年02月08日,やや仏,,なし,あり,期末100点、出席1回につき1点加点。出席はミニペで行われ、名前だけでもOK。試験は持ち込み不可かつ範囲指定が無かったのでそこそこ難しく感じた。ある程度出ていれば浮くと思うが、そうでないと結構厳しくなるかも。
,藤原千花,恋愛探求Ⅰ,,2019年02月08日,仏,,,,「IQ3でも任せなさーい！」
,秋田,金融論,,2019年02月08日,ど仏,,なし,なし,神。学生に単位を授ける救世主。中間・期末共に練習問題の答えを覚えるだけでAA評価が降ってくる。
,石塚,企業論,,2019年02月07日,仏,,なし,なし,評価は期末100%で語句問題が50点、論述問題が50点。論述問題は900字以上で持ち込み不可と超絶鬼畜に思えるが、事前に出題ポイントがアナウンスされるし評価も甘かったので心配ない。ただ、この教授は本当に板書が汚いしいちいち話し方が不快。単位は楽なので評価を仏にしたが、人間性は全く評価できないので、内容に特別関心がなければ出るだけ損だと思った方が良い。
,千木良弘明,数理統計,,2019年02月07日,仏,,なし,なし,テスト一発。A41枚手書きのカンペ持ち込み可。そのうちの4割は事前に公開される。残りは講義の後半のレジュメから出題される。4割の問題の答えは統計が得意な友達などと一緒にしっかり考えよう。講義は教授の趣味を垂れ流してる意味不明かつ害悪な授業。私はほぼ全ての講義に出席したが、出席しなくて良いかもしれない。レジュメも難解で絶望するかもしれないが、カンペにレジュメの要点をびっしりと書き込んで持ち込めさえすれば大丈夫。答えは必ずその中にあるはずなので、時間をかけてしっかり見つけよう。救済も若干入っているらしく、単位は高確率で浮く。
,石塚　史樹,外国書講読　英,,2019年02月07日,ど仏,,なし,なし,履修者は少ない、かつ授業の仕方を生徒と先生で試行錯誤して決めながらの進行だったので、進行具合ははやくはない。ある論文を各自読んできてわからないところをネットにアップし、生徒もしくは先生がそれにこたえていく形式に落ち着いた。前衛的な授業で、今期一番面白かった授業である。先生は知識量も多く話しはわかりやすかった、ただやや粗い言葉遣いをするので苦手な方もいるかもしれない。この授業形式、授業内容とも体験したことがないもので、なかなかいいと思った。出席していれば評価は１００が来るそうだ。履修してみては？ただし、授業内容、形式は履修者らで決める可能性があるためどのように進行するか予想が立てにくいだろう。我々の授業進行内容は議事録という形で引き継がれていくらしい。履修すれば見れる…かも
,北川章臣,マクロ経済分析,,2019年02月07日,やや鬼,,なし,なし,中間4割、期末6割。合わせて5割取れば浮かせてくれる的な話をされることがある(我々の代だけかもしれない)。講義は理路整然としていてわかりやすく、レジュメも見やすい。しかし、しっかり勉強をしていないと(レジュメの最後についてくる練習問題だけやればいいというのは考えが甘い。レジュメの根本的な理解が必要)厳しい。実際私は練習問題しか解かずに中間に挑み爆死した。問題形式は、筆記形式の単語もしくは数字の穴埋め。数字は自分の学籍番号の末尾を利用するものである。答えを分数で書くのか少数で書くのか問題文をしっかり読まないと爆死の元になるので気をつけよう。救済はある程度あるものの問題の難易度が全体的に高いのでコンスタントに講義の復習をお勧めする。
,桑原清幸,会計原理,,2019年02月07日,やや仏,,あり,時々あり,テスト7割、レポート等3割。2ヶ月に一回くらい1限の授業の時に抜き打ち出席テストがある(救済なのか、加点なのかは不明)。レポートは、教科書やインターネットを活用すれば簡単に書ける。テストは仕訳が五問程度とあとはマーク方式。マークの問題は教科書やレジュメをもとに単語の意味を確認しておけば単位は取れる。覚える量が多く感じるかもしれないが、重要なところをおさえることを意識しよう。
,桑原　清幸,会計原理,,2019年02月07日,やや仏,,,,この授業、穴埋めで進行するが教科書見ればそれがわかるためなんとも出席の意味が薄いような。黒板を使わない、先生は板書をまったくせず話し続けるタイプの授業。いよいよ出席する意味はなくなり、火曜一限は閑古鳥が鳴くほど、まさにがらんどうである。先生は出席の少なさに自虐をすることもあった、しっかり話を聞いてみると、公認会計士の方なので面白いのではと思う。二回出席小テスト、レポート一回。期末はマークと仕訳。ほぼ出席しなかったが勉強はそこそこしたため高得点だった。ただ、この方が次年度も担当するかはわからない。もとは院の先生なので
,北川章臣,マクロ経済分析,,2019年02月07日,並,,,,中間と期末で評価される。授業はレジュメに沿って進める普通の授業、ゆっくり話し理路整然とした授業運びである。半分くらいの生徒は出席していた。ただ、テストは嫌な問題が多かった。そう感じたのは私がまったく出席しなかったから、ではないと思う。毎回出席していても落とした人がいるそうだ。というのも、すべて穴埋め式であり学籍番号の末尾を用いた計算問題がいやらしく出されている。練習問題から出る、と言っていた気もしたが期末はまったく出なかった。難しくはなく授業に出て勉強していれば落とさないだろう。策略にはまり点数を大きく落とした人がとても多い。問題はよく読んで回答しよう。
,山崎,プレゼミ,,2019年02月07日,仏,,なし,あり,１０月より赴任した山崎先生の授業、必修なので出席さえしていれば大丈夫だろう。三回五人グループで発表した
,黒瀬一弘,経済政策,,2019年02月07日,やや仏,,なし,なし,テスト一発、最後の授業で試験範囲が説明される。三回ほど授業に出た感想としては、先生は熱意があるがやや説明に難があるなというものである。レジュメに沿った授業が行われるが、書かれた文章が異常なまでに硬いうえ、定義と証明に長い数式が出てくることがあるため出席推奨かもしれない。やってる内容自体はそこまで難しくない、ミクロマクロ履修済みの生徒には特に。ただ、なぜか難しく思わせるレジュメになっているのだ。熱意もあり説明はわかりやすかった、話も面白かった。期末は過去問不要、抽象的な問いにはやや答えづらいだろうが、分量書いてりゃ罰にしようがないのでは。レジュメからしか問題は出ない。AA浮きだが、点数に違和感がある。おそらく、先生の裁量？救済があるのかもしれない
,黒瀬一弘,経済政策,,2019年02月07日,やや仏,,なし,なし,テスト一発、最後の授業で試験範囲が説明される。三回ほど授業に出た感想としては、先生は熱意があるがやや説明に難があるなというものである。レジュメに沿った授業が行われるが、書かれた文章が異常なまでに硬いうえ、定義と証明に長い数式が出てくることがあるため出席推奨かもしれない。やってる内容自体はそこまで難しくない、ミクロマクロ履修済みの生徒には特に。ただ、なぜか難しく思わせるレジュメになっているのだ。熱意もあり説明はわかりやすかった、話も面白かった。期末は過去問不要、抽象的な問いにはやや答えづらいだろうが、分量書いてりゃ罰にしようがないのでは。レジュメからしか問題は出ない。AA浮きだが、点数に違和感がある。おそらく、先生の裁量？救済があるのかもしれない
,千木良,数理統計,,2019年02月07日,仏,,なし,なし,出席をとらない、試験一発勝負とあり、だが40点分は問題が公開された。試験自体は持ち込みありのすべてマークシート。授業には出席する必要はない、がテストの問題は難しかった。一度も出席することなく高評価を得たが、統計がよく分かったとはいいがたい。授業の難易度が後半からけた違いになり、期末試験は後半から出題されていたようだ。過去問はあるが、すべて変えられていた。マークシートかつ持ち込みがあるからと安心してはいけない。だがカンペをしっかり作っていけば出席も勉強もせずに浮かせることは可能なので仏とした。なお筆者は運ゲーに勝利したというだけで、手ごたえがなく落とすと思っていた。
,黒瀬一弘,経済政策,,2019年02月07日,やや仏,,なし,なし,テスト一発。レジュメが若干堅苦しい言葉で書かれており、教授がそれを説明・補足してくれる授業。教授は説明がうまくなく(口下手とも言える)、話が飛ぶことが時々あるが、同じことを何回も説明するので授業を受ける側としては頭に残りやすいため出席推奨。事前にテスト勉強するにあたって抑えておくべきところを言われるので、それを元に勉強すると良い。また、過去問と同じ問題は出ないので、それも踏まえるとかなり範囲が絞られるので対策はしやすい。採点はきつくはないが書けてないと落とすので、自分のありったけの知識を回答用紙にぶつけよう。
,ナニコレ家虎学,,,2019年02月07日,ど鬼,,,,FF外から失礼します。この、ヤギヌマケドニア？って方は普通の人ですか？当方、家虎や厄介、光害はNGで公式コール以外、急に豚汁を作りたくなる行為や今ごっつ腹立ってるなどの行為もNGで来ております。アイコンが非常に危険な臭いを発してますが大丈夫でしょうか？
,田中真美,機械力学Ⅰ,,2019年02月07日,仏,,あり,あり,ISTUで出欠確認、レポートはたしか計7回出された。次の授業開始前に集めて遅れると減点。テストは4クラス統一ではあるが、レポート問題を復習しておけば問題ない。全出席、レポート一回遅刻でAA。そんなテストできた記憶はないので、評価甘めかと。
,山崎,経営学入門,,2019年02月07日,やや仏,,なし,あり,経営というよりほぼマーケティングの基礎概念について様々な事例をもとに1授業1概念ごく簡単に考えるという感じ。実際の企業を例に挙げて説明してくれるので興味深くはあったが、毎回ミニぺに様々な企業の知識がないと難しい、相当量の論述をさせられる。この出来に関してそこそこ先生は憂いていたようで、テストで自信があっても評点が振るわない人が多かったのはこういう事情だろうか。
,有安杏果,,,2019年02月06日,,,,,
,吉田浩,財政学,,2019年02月06日,ど仏,,なし,なし,教授が可愛い。ゆるキャラみたいで癒されるからすこ。授業もわかりやすく、ためになるうえにテストも優しすぎて神。履修した東北大学経済学部全生徒が優しい世界過ぎてテスト中号泣したらしい。これでも落とす奴は1年生からやり直せ。
,古谷豊,経済学入門A,,2019年02月06日,ど仏,,なし,時々あり,まず学問の歴史から、学生のすべきことを最初の数回おっしゃる。そういうこととなると価値観の押し付ける講師が多いが、生徒目線で立ってくれるのですんなり入ってくる。そしてたまに笑うポイントがあるがタイミング、量、共にセンスの塊。そして当然授業も面白い。スライドを使い板書量がアホみたいな先生もいるが(誰かは他の鬼仏表探してね♡)、大切なポイントをピンポイントで押さえてくれるのでありがたい。そして何よりテストが必要なポイントを押さえておけば確実に取れる選択問題。テストに関しても2択から3択が多く、引っ掛けなどないのでGOD。たまにミニテストあるが持ち込み可なうえ、予告されている。その問題も本当に基本的なこと。それ以外は出席ない。出席を取らない授業ほど聞きたい授業が多いという話があるが、まさにその典型的な授業であろう。
,古谷豊,経済学入門,,2019年02月06日,,,,,
,山崎,経営学入門,,2019年02月06日,やや鬼,,なし,あり,今年東北大に来たようだ。授業のとき毎回プリント1枚渡され、その設問に答え提出することで出席を取っていた。授業では生徒に自由に考えさせることを求めていて、スライドを丸写ししなくても良いなど言っていたが、いざテストになると殆どが語句穴埋め問題であった。 
,長谷川,材料科学Ⅰ,,2019年02月06日,仏,,なし,あり,3クォーターのせいで記憶が薄い。評価出るのは4クォーター後。三人の先生が受け持ってた記憶がある。出欠はISTUではなく紙なので代返可。スライドは配る先生と配らずダウンロードの人がいる。テストについて、教科書やってれば十分Aは来るが、テスト問題で教科書になかった日本刀の起源の問題だけとけなかったのが心残り。持ち込みなし。
,田路和幸,量子力学Ⅰ,,2019年02月06日,やや鬼,,なし,なし,板書が汚い。説明も下手。というか先生自身が量子力学は理解できないものと理解している。まさにそうなんだけど学生としては困る。最後の講義に総まとめしてくれるのでそこだけ出るのでも十分。100%テストで成績をつけるが、テストは毎年同じ問題っぽい。ソースは再履のワイ。ホチキス留め問題用紙B4三枚に解答を書くもので、一枚目上半分はEとかλとかk（波数）とか公式を書く。中段がなんかぶつけるあれ。三枚目はトンネル効果。
,かにふらい,,,2019年02月06日,,,,,
,ラーメン二郎,基礎マシマシ概論,,2019年02月06日,やや鬼,,,,とんぺー生の憩いの場
